<ID|readonly|noverify>;<Chinese>
country_australia;澳\t大\t利\t亚
country_austria;奥\t地\t利
country_italy;意\t大\t利
country_belgium;比\t利\t时
country_bulgaria;保\t加\t利\t亚
country_brazil;巴\t西
country_canada;加\t拿\t大\t自\t治\t领
country_finland;芬\t兰
country_france;法\t国
country_greece;希\t腊
country_greece_modern;希\t腊
country_hungary;匈\t牙\t利\t王\t国
country_hungary_modern;匈\t牙\t利
country_iraq;伊\t拉\t克
country_netherlands;荷\t兰
country_new_zealand;新\t西\t兰
country_norway;挪\t威
country_poland;波\t兰
country_romania;罗\t马\t尼\t亚
country_south_africa;南\t非
country_thailand;泰\t国
country_yugoslavia;南\t斯\t拉\t夫
country_korea;朝\t鲜
country_usa_modern;美\t国
country_germany_modern;联\t邦\t德\t国
country_japan_modern;日\t本
country_russia;俄\t罗\t斯\t联\t邦
country_italy_kingdom;意\t大\t利\t王\t国
country_portugal;葡\t萄\t牙
country_syria;叙\t利\t亚\t阿\t拉\t伯\t共\t和\t国
country_canada_modern;加\t拿\t大
country_argentina;阿\t根\t廷
country_south_africa_modern;南\t非
country_vietnam;越\t南
country_turkey;土\t耳\t其
country_cuba;古\t巴
country_philippines;菲\t律\t宾
country_czech;捷\t克\t共\t和\t国
country_gdr;民\t主\t德\t国
country_north_korea;朝\t鲜
country_south_korea;韩\t国
country_bangladesh;孟\t加\t拉\t国
country_republic_china;中\t华\t民\t国
country_pakistan;巴\t基\t斯\t坦
country_ireland;爱\t尔\t兰
country_slovakia;斯\t洛\t伐\t克
country_saudi_arabia;沙\t特\t阿\t拉\t伯
country_spain;西\t班\t牙
country_jordan;约\t旦
country_britain_empire_navy;联\t合\t王\t国
country_russia_empire_navy;俄\t罗\t斯\t帝\t国
country_germany_empire_navy;德\t意\t志\t帝\t国
country_germany_weimar_republic;魏\t玛\t德\t国
country_pkg6;小\t马\t国
country_switzerland;瑞\t士
country_india;印\t度
country_kazakhstan;哈\t萨\t克\t斯\t坦
country_lithuania;立\t陶\t宛
country_oman;阿\t曼
country_denmark;丹\t麦
country_kuwait;科\t威\t特
country_iran;伊\t朗
country_colombia;哥\t伦\t比\t亚
country_triple_entente;协\t约\t国
country_indonesia;印\t度\t尼\t西\t亚
