<ID|readonly|noverify>;<Chinese>;<Comments>;<max_chars>
modification/scope_aimpoint_pro_red_dot;Aimpoint PRO;;
modification/scope_aimpoint_pro_red_dot/desc;为\t主\t武\t器\t安\t装 Aimpoint PRO 红\t点\t瞄\t具。;;
modification/scope_trijicon_rmr_red_dot;Trijicon RMR;;
modification/scope_trijicon_rmr_red_dot/desc;为\t主\t武\t器\t安\t装 Trijicon RMR 红\t点\t瞄\t具。;;
modification/scope_pk_06_red_dot;PK-06;;
modification/scope_pk_06_red_dot/desc;为\t主\t武\t器\t安\t装 PK-06 红\t点\t瞄\t具。;;
modification/scope_vzor_red_dot;Vzor;;
modification/scope_vzor_red_dot/desc;为\t主\t武\t器\t安\t装 Zenitco Vzor 红\t点\t瞄\t具。;;
modification/scope_aimpoint_acro_p2_red_dot;Aimpoint ACRO P2;;
modification/scope_aimpoint_acro_p2_red_dot/desc;为\t主\t武\t器\t安\t装 Aimpoint ACRO P2 红\t点\t瞄\t具。;;
modification/scope_m68_cco;M68 CCO;;
modification/scope_m68_cco/desc;为\t主\t武\t器\t安\t装 M68 近\t距\t离\t战\t斗\t瞄\t具。;;
modification/scope_1p63;1P63;;
modification/scope_1p63/desc;为\t主\t武\t器\t安\t装 1P63 红\t点\t瞄\t具。;;
modification/scope_ekp_8_18_cobra;EKP-8-18;;
modification/scope_ekp_8_18_cobra/desc;为\t主\t武\t器\t安\t装 Axion EKP-8-18 红\t点\t瞄\t具。;;
modification/scope_exps3;EXPS3;;
modification/scope_exps3/desc;为\t主\t武\t器\t安\t装 EOTech EXPS3 全\t息\t瞄\t具。;;
modification/scope_1p87;1P87;;
modification/scope_1p87/desc;为\t主\t武\t器\t安\t装 1P87 全\t息\t瞄\t具。;;
modification/scope_scp_t4iecdq;Leapers UTG T4;;
modification/scope_scp_t4iecdq/desc;为\t主\t武\t器\t安\t装 Leapers UTG T4 (SCP-T4IECDQ) 4 倍\t放\t大\t瞄\t具。;;
modification/scope_pso1_ak_4x;PSO-1;;
modification/scope_pso1_ak_4x/desc;为\t主\t武\t器\t安\t装 PSO-1 4 倍\t放\t大\t瞄\t具。;;
modification/scope_acog_ta31;TA31;;
modification/scope_acog_ta31/desc;为\t主\t武\t器\t安\t装 Trijicon TA31 先\t进\t战\t斗\t光\t学\t瞄\t具。;;
modification/scope_vortex_lpvo;Strike Eagle;;
modification/scope_vortex_lpvo/desc;为\t主\t武\t器\t安\t装 Vortex Strike Eagle 1-6×24 低\t倍\t可\t变\t倍\t率\t瞄\t具。;;
modification/scope_sig_tango6_x6;TANGO-6T;;
modification/scope_sig_tango6_x6/desc;为\t主\t武\t器\t安\t装 SIG SAUER TANGO-6T 低\t倍\t可\t变\t倍\t率\t瞄\t具。;;
modification/scope_an_pas;AN/PAS-13B(V)1;;
modification/scope_an_pas/desc;为\t主\t武\t器\t安\t装 AN/PAS-13B(V)1 热\t成\t像\t瞄\t具。;;
modification/scope_scotopia_s350f;TI-GEAR-S350F;;
modification/scope_scotopia_s350f/desc;为\t主\t武\t器\t安\t装 GSCI TI-GEARS-S350F 热\t成\t像\t瞄\t具。;;
modification/scope_shakhin;Shakhin;;
modification/scope_shakhin/desc;为\t主\t武\t器\t安\t装 Shakhin 热\t成\t像\t瞄\t具。;拟\t游\t隼;
modification/tactical_flashlight;手\t电\t筒;;
modification/tactical_flashlight/desc;为\t主\t武\t器\t安\t装\t手\t电\t筒。;;
modification/tactical_laser_us;NcSTAR TBL;;
modification/tactical_laser_us/desc;NcSTAR 战\t术\t蓝\t点\t激\t光\t器;;
modification/tactical_laser_ussr;Laser;?;
modification/tactical_laser_ussr/desc;Installs a tactical laser pointer on the main weapon.;;
modification/tactical_block_us;AN/PEQ-15;;
modification/tactical_block_us/desc;为\t主\t武\t器\t安\t装 AN/PEQ-15 先\t进\t目\t标\t指\t示\t照\t明\t瞄\t准\t激\t光\t器。;;
modification/tactical_block_ussr;Perst-3;?;
modification/tactical_block_ussr/desc;为\t主\t武\t器\t安\t装 Zenitco Perst-3 激\t光\t器。;;
modification/muzzle_223cb_compensator;223CB;;
modification/muzzle_223cb_compensator/desc;为\t主\t武\t器\t安\t装 223CB 补\t偿\t器。;;
modification/muzzle_m11_sd_compensator;M11 Severe Duty;;
modification/muzzle_m11_sd_compensator/desc;为\t主\t武\t器\t安\t装 Percision Armament M11 Severe Duty 制\t退\t器。;;
modification/muzzle_vector_vr_13_compensator;VR-13;;
modification/muzzle_vector_vr_13_compensator/desc;为\t主\t武\t器\t安\t装 Vector VR-13 制\t退\t器。;;
modification/muzzle_zenith_dtk_3_compensator;DTK-3;;
modification/muzzle_zenith_dtk_3_compensator/desc;为\t主\t武\t器\t安\t装 Zenitco DTK-3 制\t退\t器。;;
modification/muzzle_socom556_suppressor;SOCOM556-RC2;;
modification/muzzle_socom556_suppressor/desc;为\t主\t武\t器\t安\t装 Surefire SOCOM556-RC2 抑\t制\t器。;;
modification/muzzle_xm5_suppressor;SLX;;
modification/muzzle_xm5_suppressor/desc;为\t主\t武\t器\t安\t装 SIG SAUER SLX 抑\t制\t器。;;
modification/muzzle_m110a1_suppressor;KAC 抑\t制\t器;;
modification/muzzle_m110a1_suppressor/desc;为\t主\t武\t器\t安\t装 Knight's Armament 的\t定\t制\t抑\t制\t器。;;
modification/muzzle_gls_mac_supressor;MAC;;
modification/muzzle_gls_mac_supressor/desc;为\t主\t武\t器\t安\t装 GSL MAC 抑\t制\t器。;;
modification/muzzle_hexagon_suppressor;Hexagon 抑\t制\t器;;
modification/muzzle_hexagon_suppressor/desc;为\t主\t武\t器\t安\t装 Hexagon 的 AK 抑\t制\t器。;;
modification/muzzle_rotor43_svdm_suppressor;Rotor 43 抑\t制\t器;;
modification/muzzle_rotor43_svdm_suppressor/desc;为\t主\t武\t器\t安\t装 Rotor 43 的 7.62×54R 抑\t制\t器。;;
modification/muzzle_pp_19_suppressor;Hexagon 抑\t制\t器;;
modification/muzzle_pp_19_suppressor/desc;为\t主\t武\t器\t安\t装 Hexagon 的 PP-19 抑\t制\t器。;;
modification/grip_vertical_tangodown;TangoDown 垂\t直\t握\t把;;
modification/grip_vertical_tangodown/desc;为\t主\t武\t器\t安\t装 TangoDown 垂\t直\t握\t把。;;
modification/grip_vertical_utg_5_position;UTG 5 位\t握\t把;;
modification/grip_vertical_utg_5_position/desc;为\t主\t武\t器\t安\t装 Leapers UTG 5 位\t握\t把。;;
modification/grip_vertical_rk2;RK-2;;
modification/grip_vertical_rk2/desc;为\t主\t武\t器\t安\t装 Zenitco RK-2 垂\t直\t握\t把。;;
modification/grip_vertical_utg_qd;UTG QD 握\t把;;
modification/grip_vertical_utg_qd/desc;为\t主\t武\t器\t安\t装 Leapers UTG 快\t拆\t握\t把。;;
modification/grip_vertical_molot;Molot;重\t锤;
modification/grip_vertical_molot/desc;为\t主\t武\t器\t安\t装 Molot 垂\t直\t握\t把。;;
modification/grip_angled_magpul;AFG-2;;
modification/grip_angled_magpul/desc;为\t主\t武\t器\t安\t装 Magpul AFG-2 三\t角\t握\t把。;;
modification/grenade_launcher_m320;M320;;
modification/grenade_launcher_m320/desc;为\t主\t武\t器\t安\t装 M320 榴\t弹\t发\t射\t器。;;
modification/grenade_launcher_gp_25;GP-25;;
modification/grenade_launcher_gp_25/desc;为\t主\t武\t器\t安\t装 GP-25 榴\t弹\t发\t射\t器。;;
modification/grenade_launcher_gp_34;GP-34;;
modification/grenade_launcher_gp_34/desc;为\t主\t武\t器\t安\t装 GP-34 榴\t弹\t发\t射\t器。;;
modification/5_56mm_tracer_ammo_belt;曳\t光\t弹;;
modification/5_56mm_tracer_ammo_belt/desc;弹\t匣\t中\t额\t外\t装\t填\t曳\t光\t弹。;;
modification/5_56mm_ap_ammo_belt;穿\t甲\t弹;;
modification/5_56mm_ap_ammo_belt/desc;弹\t匣\t中\t额\t外\t装\t填\t穿\t甲\t弹。;;
modification/magazine_magpul_pmag_30_round;PMAG 30;;
modification/magazine_magpul_pmag_30_round/desc;为\t主\t武\t器\t安\t装\t轻\t量\t化\t的 Magpul PMAG 30 发\t聚\t合\t物\t弹\t匣。;;
modification/magazine_magpul_pmag_40_round;PMAG 40;;
modification/magazine_magpul_pmag_40_round/desc;为\t主\t武\t器\t安\t装\t轻\t量\t化\t的 Magpul PMAG 40 发\t聚\t合\t物\t弹\t匣。;;
modification/magazine_magpul_pmag_60_round;PMAG 60;;
modification/magazine_magpul_pmag_60_round/desc;为\t主\t武\t器\t安\t装\t轻\t量\t化\t的 Magpul PMAG 60 发\t聚\t合\t物\t弹\t匣。;;
modification/magazine_mod_rpk_45_round;6L26;;
modification/magazine_mod_rpk_45_round/desc;为\t主\t武\t器\t安\t装\t轻\t量\t化\t的 6L26 45 发\t聚\t合\t物\t弹\t匣。;;
modification/magazine_mod_ak_60_round;6L31;;
modification/magazine_mod_ak_60_round/desc;为\t主\t武\t器\t安\t装\t轻\t量\t化\t的 6L31 60 发\t聚\t合\t物\t弹\t匣。;;
modification/magazine_mod_as_val_30_round;30 发\t弹\t匣;;
modification/magazine_mod_as_val_30_round/desc;为\t主\t武\t器\t安\t装\t轻\t量\t化\t的 30 发\t聚\t合\t物\t弹\t匣。;;
modification/shotgun_mossberg_590;M590;;
