<ID|readonly|noverify>;<Chinese>
<LOCATION>;
location/air_falklands;福\t克\t兰\t群\t岛
location/air_kamchatka;堪\t察\t加
location/air_pyrenees;比\t利\t牛\t斯
<LOCATION_DESC>;
africa_desert/desc;埃\t及\t马\t特\t鲁\t省
alps/desc;阿\t尔\t卑\t斯\t山\t脉
berlin/desc;德\t国\t柏\t林
eastern_europe/desc;苏\t联\t乌\t克\t兰\t社\t会\t主\t义\t共\t和\t国
european_province/desc;苏\t联\t乌\t克\t兰\t社\t会\t主\t义\t共\t和\t国
finland/desc;芬\t兰\t卡\t累\t利\t阿\t省
fortress/desc;东\t欧\t某\t地
guadalcanal/desc;瓜\t达\t卡\t纳\t尔\t岛\t阿\t鲁\t利\t霍
hurtgen/desc;德\t国\t许\t特\t根\t森\t林\t沃\t森\t纳\t克
ireland/desc;爱\t尔\t兰\t芒\t斯\t特\t省
karelia/desc;芬\t兰\t卡\t累\t利\t阿\t省
karpaty/desc;斯\t洛\t伐\t克\t喀\t尔\t巴\t阡\t山\t脉
korea/desc;韩\t国\t江\t原\t道
krymsk/desc;苏\t联\t克\t拉\t斯\t诺\t达\t尔\t边\t疆\t区
kursk/desc;苏\t联\t普\t罗\t霍\t罗\t夫\t卡
kursk_villages/desc;苏\t联\t普\t罗\t霍\t罗\t夫\t卡
mozdok/desc;苏\t联\t北\t高\t加\t索\t地\t区
normandy_02/desc;法\t国\t滨\t海\t圣\t洛\t朗
normandy/desc;法\t国\t滨\t海\t圣\t洛\t朗
poland_02/desc;捷\t克\t维\t索\t卡\t塞\t布\t斯\t卡
poland/desc;捷\t克\t维\t索\t卡\t塞\t布\t斯\t卡
port_novorossiysk/desc;苏\t联\t新\t罗\t西\t斯\t克
rheinland/desc;德\t国\t科\t隆
stalingrad_factory/desc;苏\t联\t斯\t大\t林\t格\t勒
tunisia_02/desc;突\t尼\t斯\t瓦\t迪\t阿\t卡\t里\t特
tunisia/desc;突\t尼\t斯\t瓦\t迪\t阿\t卡\t里\t特
volokolamsk/desc;苏\t联\t沃\t洛\t科\t拉\t姆\t斯\t克
volokolamsk_02/desc;苏\t联\t沃\t洛\t科\t拉\t姆\t斯\t克
ardennes/desc;比\t利\t时\t巴\t斯\t托\t涅
sinai/desc;埃\t及\t北\t西\t奈\t省
sinai_02/desc;埃\t及\t北\t西\t奈\t省
abandoned_factory/desc;苏\t联\t伏\t尔\t加\t河\t畔\t科\t斯\t季\t诺
stalingrad/desc;苏\t联\t斯\t大\t林\t格\t勒
fulda/desc;德\t国\t图\t林\t根\t州\t盖\t萨
japan/desc;日\t本\t中\t国\t地\t区
middle_east/desc;叙\t利\t亚\t中\t部
italy_village/desc;意\t大\t利\t雷\t焦\t卡\t拉\t布\t里\t亚\t省
lazzaro_italy/desc;意\t大\t利\t雷\t焦\t卡\t拉\t布\t里\t亚\t省
lazzaro_italy_new_city/desc;意\t大\t利\t雷\t焦\t卡\t拉\t布\t里\t亚\t省
vietnam/desc;越\t南\t广\t南\t省
alaska_town/desc;美\t国\t阿\t拉\t斯\t加\t州
nuclear_incident/desc;美\t国\t阿\t拉\t斯\t加\t州
container_port/desc;
sector_montmedy/desc;法\t国\t色\t当
vietnam_hills/desc;越\t南\t广\t南\t省
sweden/desc;瑞\t典\t斯\t德\t哥\t尔\t摩\t郡
nuclear_incident/desc;美\t国\t阿\t拉\t斯\t加\t州
<LOCATION_INFANTRY>;
location/hvg_granitograd;格\t拉\t尼\t特\t格\t勒
location/hvg_training_ground;训\t练\t场
missions/testRun;测\t试\t任\t务
missions/granitograd_infdom;格\t拉\t尼\t特\t格\t勒
