<ID|readonly|noverify>;<Chinese>;<max_chars>;;;;;;;;;;;;;;;;;;;
ships/uss_cv_immortal_0;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_cv_immortal_1;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_cv_immortal_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_light_0;【登\t陆\t艇\t】\t小\t型\t车\t辆\t人\t员\t登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_light_1;【登\t陆\t艇\t】\t小\t型\t车\t辆\t人\t员\t登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_light_2;登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
tracked_vehicles/ussr_t34_85_increased_pitch_0;T-34-85;;;;;;;;;;;;;;;;;;;;
tracked_vehicles/ussr_t34_85_increased_pitch_1;T-34-85;;;;;;;;;;;;;;;;;;;;
tracked_vehicles/ussr_t34_85_increased_pitch_2;坦\t克;;;;;;;;;;;;;;;;;;;;
air_defence/searchLightTop_0;探\t照\t灯;;;;;;;;;;;;;;;;;;;;
air_defence/searchLightTop_1;探\t照\t灯;;;;;;;;;;;;;;;;;;;;
air_defence/searchLightTop_2;探\t照\t灯;;;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_searchlight_top_0;【战\t列\t舰\t】\t“提\t尔\t皮\t茨”\t号;;;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_searchlight_top_1;【战\t列\t舰\t】\t“提\t尔\t皮\t茨”\t号;;;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_searchlight_top_2;战\t列\t舰;;;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_searchlight_top_0;【驱\t逐\t舰\t】\tZ 28 号;;;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_searchlight_top_1;【驱\t逐\t舰\t】\tZ 28 号;;;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_searchlight_top_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/ussr_aircraftcarrier_admiral_kuznetsov_0;【航\t空\t母\t舰\t】\t“库\t兹\t涅\t佐\t夫”\t号;;;;;;;;;;;;;;;;;;;;
ships/ussr_aircraftcarrier_admiral_kuznetsov_1;【航\t空\t母\t舰\t】\t“库\t兹\t涅\t佐\t夫”\t号;;;;;;;;;;;;;;;;;;;;
ships/ussr_aircraftcarrier_admiral_kuznetsov_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/jp_aircraftcarrier_shokaku_0;【航\t空\t母\t舰\t】\t“翔\t鹤”\t号;;;;;;;;;;;;;;;;;;;;
ships/jp_aircraftcarrier_shokaku_1;【航\t空\t母\t舰\t】\t“翔\t鹤”\t号;;;;;;;;;;;;;;;;;;;;
ships/jp_aircraftcarrier_shokaku_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_0;货\t车;;;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_1;货\t车;;;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_2;货\t车;;;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_0;货\t船;;;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_1;货\t船;;;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_2;货\t船;;;;;;;;;;;;;;;;;;;;
structures/dummy_arcade_0;基\t地\t建\t筑;;;;;;;;;;;;;;;;;;;;
structures/dummy_arcade_1;基\t地\t建\t筑;;;;;;;;;;;;;;;;;;;;
structures/dummy_arcade_2;基\t地\t建\t筑;;;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_0;机\t场;;;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_1;机\t场;;;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_2;机\t场;;;;;;;;;;;;;;;;;;;;
structures/flag_victory_0;旗\t帜;;;;;;;;;;;;;;;;;;;;
structures/flag_victory_1;旗\t帜;;;;;;;;;;;;;;;;;;;;
structures/flag_victory_2;旗\t帜;;;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_5k_0;机\t场;;;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_5k_1;机\t场;;;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_5k_2;机\t场;;;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_0;轰\t炸\t点;;;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_1;轰\t炸\t点;;;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_2;轰\t炸\t点;;;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_airfield_0;跑\t道;;;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_airfield_1;跑\t道;;;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_airfield_2;跑\t道;;;;;;;;;;;;;;;;;;;;
structures/tank_target_10a_char_0;目\t标 10\tа;;;;;;;;;;;;;;;;;;;;
structures/tank_target_10a_char_1;目\t标 10\tа;;;;;;;;;;;;;;;;;;;;
structures/tank_target_10a_char_2;目\t标 10\tа;;;;;;;;;;;;;;;;;;;;
structures/tank_target_12_char_0;目\t标 12;;;;;;;;;;;;;;;;;;;;
structures/tank_target_12_char_1;目\t标 12;;;;;;;;;;;;;;;;;;;;
structures/tank_target_12_char_2;目\t标 12;;;;;;;;;;;;;;;;;;;;
structures/tank_target_17_char_0;目\t标 17;;;;;;;;;;;;;;;;;;;;
structures/tank_target_17_char_1;目\t标 17;;;;;;;;;;;;;;;;;;;;
structures/tank_target_17_char_2;目\t标 17;;;;;;;;;;;;;;;;;;;;
structures/tank_target_25_char_0;目\t标 25;;;;;;;;;;;;;;;;;;;;
structures/tank_target_25_char_1;目\t标 25;;;;;;;;;;;;;;;;;;;;
structures/tank_target_25_char_2;目\t标 25;;;;;;;;;;;;;;;;;;;;
structures/tank_target_8_char_0;目\t标 8;;;;;;;;;;;;;;;;;;;;
structures/tank_target_8_char_1;目\t标 8;;;;;;;;;;;;;;;;;;;;
structures/tank_target_8_char_2;目\t标 8;;;;;;;;;;;;;;;;;;;;
structures/tank_target_9_char_0;目\t标 9;;;;;;;;;;;;;;;;;;;;
structures/tank_target_9_char_1;目\t标 9;;;;;;;;;;;;;;;;;;;;
structures/tank_target_9_char_2;目\t标 9;;;;;;;;;;;;;;;;;;;;
structures/dummy_naval_base_0;【岸\t防\t炮\t】\t280 毫\t米 1877 型;;;;;;;;;;;;;;;;;;;;
structures/dummy_naval_base_1;【岸\t防\t炮\t】\t280 毫\t米 1877 型;;;;;;;;;;;;;;;;;;;;
structures/dummy_naval_base_2;【岸\t防\t炮\t】\t280 毫\t米 1877 型;;;;;;;;;;;;;;;;;;;;
unic_hornet;“大\t黄\t蜂”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_hornet_0;“大\t黄\t蜂”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_hornet_1;“大\t黄\t蜂”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_hornet_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_enterprise;“企\t业”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_enterprise_0;“企\t业”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
