<ID|readonly|noverify>;<Chinese>;
modification/headerForWeapon;武\t器\t改\t装;
modification/category/lth;飞\t行\t性\t能;
modification/category/armor;生\t存\t能\t力;
modification/category/weapon;武\t器\t配\t置;
modification/category/mobility;机\t动\t改\t装;
modification/category/protection;防\t御\t改\t装;
modification/category/firepower;武\t器\t改\t装;
modification/category/primaryWeapon;前\t射\t武\t器;
modification/category/secondaryWeapon;挂\t载;
modification/category/premiumMods;高\t级\t功\t能;
modification/category/expendables;消\t耗\t物\t品;
modification/category/seakeeping;适\t航\t性\t能;
modification/category/unsinkability;抗\t沉\t能\t力;
modification/category/bonus;等\t级\t奖\t励;
modification/category/bonus/tooltip;当\t研\t发\t了\t每\t个\t等\t级\t的\t所\t有\t改\t装\t件\t时，\t将\t会\t收\t到\t研\t发\t车\t辆\t改\t装\t件的 {bonus}% 研\t发\t点\t形\t式\t的\t奖\t励。;
modification/tierBonus;奖\t励：;
modification/bonusReceived;已\t获\t得\t奖\t励;
modification/progressModsText;整\t体\t改\t装\t件\t研\t发\t进\t度：\t{earnedExp} / {reqExp};
modification/progressModsAllResearchedText;已\t研\t发\t所\t有\t改\t装\t件;
modification/f2a3_2x100lb;Mk 41 挂\t架;
modification/f2a3_2x100lb/desc;可\t携\t带 2 枚 100 磅\t炸\t弹。;
modification/g50_2xSC50;ETC 50/IId 挂\t架;
modification/g50_2xSC50/desc;可\t携\t带 2 枚 50 千\t克\t炸\t弹。;
modification/it50_mod;MCGP50 挂\t架;
modification/it50_mod/desc;可\t携\t带 500 千\t克\t炸\t弹。;
modification/it100_mod;MCSAP100 挂\t架;
modification/it100_mod/desc;可\t携\t带 100 千\t克\t炸\t弹。;
modification/it150_mod;MCAP150 挂\t架;
modification/it150_mod/desc;可\t携\t带 150 千\t克\t炸\t弹。;
modification/it160_mod;AP160 挂\t架;
modification/it160_mod/desc;可\t携\t带 160 千\t克\t炸\t弹;
modification/it250_mod;MCGP250 挂\t架;
modification/it250_mod/desc;可\t携\t带 250 千\t克\t炸\t弹。;
modification/it500_mod;MCRO500 挂\t架;
modification/it500_mod/desc;可\t携\t带 500 千\t克\t炸\t弹。;
modification/it630_ap_mod;MCPD630 挂\t架;
modification/it630_ap_mod/desc;可\t携\t带 630 千\t克\t炸\t弹。;
modification/it800_mod;MCGP800 挂\t架;
modification/it800_mod/desc;可\t携\t带 800 千\t克\t炸\t弹。;
modification/he51_6xsd10;ETC 10/VId 挂\t架;
