<ID|readonly|noverify>;<Chinese>
weapons/cannonMGC30L;20 毫\t米 MG C/30L 机\t炮
weapons/cannonType5;30 毫\t米\t五\t式\t固\t定\t机\t炮
weapons/cannonType5_external;30 毫\t米\t五\t式\t固\t定\t机\t炮
weapons/gunType97;7.7 毫\t米\t九\t七\t式\t固\t定\t机\t枪
weapons/gunType97_turret;7.7 毫\t米\t九\t七\t式\t旋\t回\t机\t枪
weapons/cannonType99;20 毫\t米\t九\t九\t式\t一\t号\t固\t定\t机\t炮
weapons/cannonType99_turret;20 毫\t米\t九\t九\t式\t一\t号\t旋\t回\t机\t炮
weapons/cannonType99Mod2_mark3_turret;20 毫\t米\t九\t九\t式\t二\t号\t机\t炮\t三\t型
weapons/cannonType99Mod2_mark5_turret;20 毫\t米\t九\t九\t式\t二\t号\t机\t炮\t五\t型
weapons/gunMAC34;7.5 毫\t米 MAC Mle 1934 机\t枪
weapons/gunMAC34_turret;7.5 毫\t米 MAC Mle 1934 机\t枪
weapons/gunMAC34T_turret;7.5 毫\t米 MAC Mle 1934T 机\t枪
weapons/gunDarne23;7.5 毫\t米\t达\t尔\t内 Mle 1923 机\t枪
weapons/gunDarne23_turret;7.5 毫\t米\t达\t尔\t内 Mle 1923 机\t枪
weapons/cannonHispano_hs9;20 毫\t米\t伊\t斯\t帕\t诺\t-\t絮\t扎 HS.9 机\t炮
weapons/cannonHispano_hs825;30 毫\t米\t伊\t斯\t帕\t诺\t-\t絮\t扎 HS.825 机\t炮
weapons/cannonHispano_hs825/short;伊\t斯\t帕\t诺\t-\t絮\t扎 HS.825
weapons/cannonHo3;20 毫\t米 Ho-3 试\t制\t固\t定\t机\t炮
weapons/cannonT15E1;75 毫\t米 T15E1 火\t炮
weapons/cannonType97;20 毫\t米 Ho-1 试\t制\t旋\t回\t机\t炮
weapons/cannonType97_turret;20 毫\t米 Ho-1 试\t制\t旋\t回\t机\t炮
weapons/cannonType_23L;23 毫\t米 23L 型\t机\t炮
weapons/cannonType_23_1;23 毫\t米 23-1 型\t机\t炮
weapons/cannonType_23_1_plane;23 毫\t米 23-1 型\t机\t炮
weapons/gunBredaSAFAT127;12.7 毫\t米\t布\t雷\t达\t-SAFAT 机\t枪
weapons/gunBredaSAFAT127_turret;12.7 毫\t米\t布\t雷\t达\t-SAFAT 机\t枪
weapons/gunBredaSAFAT77;7.7 毫\t米\t布\t雷\t达\t-SAFAT 机\t枪
weapons/gunBredaSAFAT77_turret;7.7 毫\t米\t布\t雷\t达\t-SAFAT 机\t枪
weapons/gunScotti127_turret;12.7 毫\t米\t斯\t科\t蒂 1933 型\t机\t枪
weapons/gunDarne33;7.5 毫\t米\t达\t尔\t内 Mle 1933 机\t枪
weapons/gunMle38;7.5 毫\t米 FN Mle 1938 机\t枪
weapons/gunBrowning303;7.7 毫\t米\t勃\t朗\t宁 Mk II 机\t枪
weapons/gunBrowning303_turret;7.7 毫\t米\t勃\t朗\t宁 Mk II 机\t枪
weapons/gunBrowning303_raf;7.7 毫\t米\t勃\t朗\t宁 Mk II 机\t枪
weapons/gunBrowning30_usaaf;7.62 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning30_usaaf_1935;7.62 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning30_turret;7.62 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_M3;12.7 毫\t米 AN/M3 勃\t朗\t宁\t机\t枪
weapons/gunFN_M3P;12.7 毫\t米 FN M3P 机\t枪
weapons/gunfn_60_30;7.62 毫\t米 FN MAG 60.30 机\t枪
weapons/gunfn_60_30_mgp;7.62 毫\t米 FN MAG 60.30 机\t枪
weapons/gunFN_M3P_cwp;12.7 毫\t米 FN M3P 机\t枪
weapons/gunFN_M3M;12.7 毫\t米 FN M3M 机\t枪
weapons/gunBrowning50_M3_underwing;12.7 毫\t米 AN/M3 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_early;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_M2;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_early_1935;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunLKk_42;12.7 毫\t米 LKk/42 机\t枪
weapons/gunLKk_42/short;LKk/42
weapons/gunBrowning50_M2_late;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_M2_underwing;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_raf;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_raf_tutorial;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_raf_tutorial/short;M2 勃\t朗\t宁
weapons/gunBrowning50_raf_turret;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_usaaf;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_turret;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunBrowning50_turret_late;12.7 毫\t米 AN/M2 勃\t朗\t宁\t机\t枪
weapons/gunDA762;7.62 毫\t米 DA 机\t枪
weapons/cannonHispanoMkI;20 毫\t米\t西\t斯\t帕\t诺 Mk I 机\t炮
weapons/cannonHispano404;20 毫\t米\t伊\t斯\t帕\t诺\t-\t絮\t扎 HS.404 机\t炮
weapons/gunBrowningM36No3;7.7 毫\t米 FN-勃\t朗\t宁 M.36 3 号\t机\t枪
weapons/gunBrowningM36No3/short;FN-勃\t朗\t宁 M.36 3 号
weapons/gunBrowningM36No3Holand;7.92 毫\t米 FN-勃\t朗\t宁 M.36 3 号\t机\t枪
weapons/gunBrowningM36No3Holand/short;FN-勃\t朗\t宁 M.36 3 号
weapons/gunBrowningM36No4Holand_turret;7.92 毫\t米 FN-勃\t朗\t宁 M.36 4 号\t机\t枪
weapons/gunBrowningM36No4Holand_turret/short;FN-勃\t朗\t宁 M.36 4 号
weapons/cannonOerliconFF;20 毫\t米\t厄\t利\t孔 FF 机\t关\t炮
weapons/cannonOerliconFF/short;厄\t利\t孔 FF
